,Thời gian,Thực tế đo từ vệ tinh (μg/m3),Dự đoán từ mô hình (μg/m3),Độ lệch tuyệt đối (μg/m3)
1,09:00 - 10/04/2026,43.8,35.16,8.64
2,12:00 - 10/04/2026,58.6,37.93,20.67
3,15:00 - 10/04/2026,62.4,36.85,25.55
4,16:00 - 10/04/2026,58.6,39.1,19.5
5,18:00 - 10/04/2026,44.2,39.2,5.0
6,19:00 - 10/04/2026,67.1,57.04,10.06
7,00:00 - 11/04/2026,41.9,39.05,2.85
8,05:00 - 11/04/2026,37.1,33.62,3.48
9,06:00 - 11/04/2026,37.6,35.92,1.68
10,07:00 - 11/04/2026,40.2,38.18,2.02
11,21:00 - 11/04/2026,73.8,44.74,29.06
12,03:00 - 12/04/2026,49.4,32.77,16.63
13,07:00 - 12/04/2026,50.2,35.49,14.71
14,12:00 - 12/04/2026,55.5,51.15,4.35
15,20:00 - 12/04/2026,73.6,50.71,22.89
16,03:00 - 13/04/2026,36.9,28.78,8.12
17,04:00 - 13/04/2026,36.3,28.43,7.87
18,10:00 - 13/04/2026,33.3,29.97,3.33
19,13:00 - 13/04/2026,44.5,35.25,9.25
20,02:00 - 14/04/2026,30.9,29.31,1.59
21,09:00 - 14/04/2026,43.4,29.51,13.89
22,12:00 - 14/04/2026,49.4,41.36,8.04
23,13:00 - 14/04/2026,52.5,43.83,8.67
24,23:00 - 14/04/2026,29.2,27.52,1.68
25,13:00 - 15/04/2026,33.2,33.26,0.06
26,17:00 - 15/04/2026,26.2,27.14,0.94
27,22:00 - 15/04/2026,17.6,22.37,4.77
28,12:00 - 16/04/2026,25.6,28.82,3.22
29,17:00 - 16/04/2026,23.6,23.45,0.15
30,20:00 - 16/04/2026,19.4,25.84,6.44
